NumeroIssue,Genero
16,female
10,male
457,male
327,male
321,male
299,male
28,female
26,female
20,male
18,female
16,female
15,female
13,female
11,male
10,male
8,female
548,female
514,female
502,female
501,female
488,female
482,female
480,female
475,female
474,female
473,female
455,female
451,female
434,female
428,female
427,female
412,female
408,female
405,female
398,female
96,female
90,female
76,female
71,female
68,female
63,female
46,female
45,female
61,female
60,female
55,female
54,female
50,female
41,male
438,female
435,female
412,male
394,female
376,female
371,female
367,male
365,female
360,female
355,female
344,female
337,female
335,female
333,female
331,female
330,female
279,female
17,female
6,female
3,female
1757,male
1754,male
1751,male
1742,male
1728,male
1727,male
1722,male
1720,female
1712,male
1711,male
1710,male
1708,male
1703,male
1692,male
1690,male
1684,male
1683,male
1681,male
1679,male
1677,male
1676,male
1670,female
1666,male
1665,male
1664,male
1660,male
1652,male
1650,male
1641,male
1636,female
1616,male
1609,male
1605,male
1597,male
1595,male
1589,male
1588,female
1578,female
1576,male
1574,male
1558,male
1551,female
1547,male
1540,male
1539,male
1536,female
1535,female
1533,male
1529,male
1525,male
1519,female
1516,male
1515,male
1506,male
1498,female
1497,male
1495,male
1491,female
1484,female
1476,male
1474,male
1469,male
1467,male
1465,male
1462,male
1451,male
1440,male
1433,male
1432,female
1424,male
1420,female
1418,male
1397,male
1379,female
1377,male
1372,male
1365,male
1364,male
1363,female
1354,male
1350,female
1349,male
1338,female
1337,female
1336,female
1335,female
1324,female
1322,female
1317,male
1311,male
1308,male
1299,male
1298,male
1283,male
1282,female
1266,male
1261,male
1259,male
1252,female
1245,male
1244,male
1225,male
1222,male
1217,male
1210,male
1208,male
1202,female
1198,male
1192,male
1190,male
709,female
690,male
672,male
667,male
661,male
660,female
658,female
653,male
641,female
640,male
639,male
634,male
633,female
630,female
629,male
628,female
624,male
620,male
612,female
611,male
610,male
604,female
603,female
593,female
590,female
580,male
579,female
572,female
537,female
512,male
510,female
509,female
500,male
485,female
483,male
1099,male
1093,male
1090,male
1079,male
1029,male
1000,male
997,male
994,male
988,male
984,female
978,male
975,male
972,male
961,male
951,male
907,male
905,male
904,male
903,male
896,male
893,male
886,male
871,male
870,male
866,male
862,male
860,male
857,male
838,male
828,female
818,male
805,male
800,male
797,male
796,male
793,male
777,male
776,male
765,male
1773,male
1757,male
1716,male
1717,male
1692,male
1691,male
1683,male
1680,male
1676,male
1668,male
1639,male
1637,male
1624,male
1621,male
1613,female
1594,male
1588,male
1582,male
1579,female
1578,male
1574,male
1572,male
1566,male
1558,male
1557,male
1555,male
1554,male
1551,male
1550,male
1549,female
1522,male
1520,male
1515,male
1513,male
1494,male
1480,male
1473,male
1464,male
1455,male
1450,female
1442,male
1441,male
1433,male
1432,male
1426,male
1424,male
1421,male
1409,male
1401,male
1396,male
1391,male
1390,male
1386,male
1374,male
1370,male
1369,male
1368,male
1353,male
1348,male
1340,male
1338,male
1331,male
1324,male
1314,male
1280,male
1272,male
1271,female
1269,male
1257,male
1253,male
1252,male
1251,male
1247,male
1245,male
1242,female
1240,female
1238,male
1236,male
1234,male
1225,male
1204,male
1194,male
1193,male
1191,male
1189,male
1186,male
1182,male
1181,male
1175,male
1174,male
1170,male
1165,male
1149,male
1136,male
1133,male
1129,male
308,male
307,male
305,male
302,male
292,female
278,male
275,female
272,male
265,male
262,male
261,male
260,male
254,male
253,male
251,male
250,male
249,male
245,male
240,female
235,male
234,male
230,male
229,male
228,male
227,male
222,male
221,male
211,male
209,male
205,female
201,male
199,male
315,male
314,male
283,male
277,male
260,male
226,male
224,male
394,male
390,male
363,male
362,male
348,male
347,female
345,male
335,male
322,male
315,male
298,male
293,female
292,male
281,male
279,male
277,male
276,male
268,male
267,male
263,male
260,male
256,male
255,male
247,male
246,male
245,male
244,male
237,male
284,male
283,male
281,male
278,male
275,male
274,male
271,male
266,female
262,male
260,male
259,male
258,male
251,male
247,male
246,male
245,male
239,male
236,male
229,male
223,male
219,male
214,male
212,male
211,female
208,male
203,male
195,male
194,male
193,male
185,male
184,male
182,male
181,female
180,male
177,male
174,male
173,male
6679,female
6648,male
6630,male
6613,male
6576,male
6575,male
6556,male
6547,male
6537,male
6523,male
6519,male
6516,male
6508,male
6506,male
6484,male
6477,male
6476,male
6470,female
6456,male
6454,male
6434,male
6429,female
6414,male
6410,female
6401,male
6395,male
6392,male
6391,male
6389,male
6385,male
6379,male
6377,male
6371,male
6363,male
6351,male
6341,male
6339,male
6325,male
6310,male
6308,female
6296,male
6291,female
6289,male
6279,male
6263,male
6252,male
6248,male
6243,male
6224,male
6214,male
6211,male
6201,male
6151,male
6153,male
6143,male
6134,male
6102,male
6095,male
6087,male
6074,male
6071,male
6069,male
6059,male
6031,male
6021,male
6017,male
6008,male
5991,female
5984,male
5982,male
5969,male
5949,male
5944,male
5942,male
5939,male
5935,male
5931,male
5929,male
5912,male
5893,male
5866,male
5859,male
5832,male
5818,male
5814,male
5807,male
5805,male
5798,male
5795,male
5790,male
5786,male
5782,male
5780,female
5771,female
5767,female
5749,male
5746,male
5742,male
5741,male
5740,male
5736,male
5732,male
5708,female
5672,male
5662,male
5654,male
5645,male
5633,male
5630,male
5616,male
5612,male
5606,male
5573,male
5565,male
5550,male
5538,male
5533,male
5527,female
5526,male
5515,male
5507,male
5504,male
5499,male
5492,male
5488,male
5484,male
5480,male
5476,male
5460,male
5447,male
5427,male
5416,male
5394,male
5385,male
5381,male
5373,male
5351,male
5329,male
5328,male
5324,male
5323,male
5322,male
5314,male
5296,male
5287,male
5283,male
5281,male
5277,male
5270,male
5267,male
5259,male
5251,male
5247,female
5244,male
5243,female
5232,male
5229,male
5227,male
5221,female
5215,male
5202,male
5201,male
5195,male
5190,male
5189,male
5166,male
5147,male
5141,male
5128,male
5125,female
5115,male
5105,male
5096,male
5090,male
5066,male
5062,male
5052,male
5044,male
5032,male
5026,male
5019,male
4983,male
4982,male
4981,male
4972,female
4970,female
4964,male
4962,male
4956,female
4949,male
4943,male
4942,male
4883,male
4850,male
4842,male
4830,male
4821,male
4812,male
4791,male
4783,male
4776,male
4769,male
4719,male
4687,male
4673,male
4664,male
4649,male
4638,male
4637,male
4633,male
4611,male
4599,male
4592,female
4586,female
2126,male
1897,male
1882,male
1836,male
1804,male
1773,male
1765,male
1756,male
1689,male
1685,male
1777,male
1668,male
1661,male
1656,male
1628,male
1625,male
1623,male
1607,male
1605,male
1596,male
1595,male
1593,male
1574,male
1567,male
1559,male
1542,male
1507,male
1502,male
1496,male
1491,female
2670,female
2663,male
2662,male
2658,male
2655,female
2653,male
2650,female
2647,female
2642,female
2635,female
2633,male
2625,female
2624,female
2618,female
2616,male
2600,female
2597,female
2594,female
2574,female
2572,male
2567,female
2558,female
2510,male
2499,male
2480,male
2442,female
2413,male
2363,male
2359,female
2351,male
2307,male
2300,male
2278,male
2274,male
2246,male
2226,female
2214,male
2149,male
2115,male
2091,male
2056,male
2051,male
2007,male
1962,male
1954,male
1953,female
1947,male
1891,male
1873,male
1859,male
1858,male
757,male
747,female
734,male
691,male
688,male
682,male
679,male
676,male
673,male
667,male
662,female
650,male
623,female
615,male
596,male
588,male
581,male
579,male
576,male
570,male
568,female
562,male
560,male
533,male
531,male
120,female
109,male
102,male
98,male
97,male
95,male
80,male
70,male
63,male
61,male
56,female
54,male
1956,male
1830,male
1826,female
1820,male
1766,male
1735,male
1724,male
1702,male
1678,female
1672,male
1651,female
1642,female
1633,male
1632,male
1628,male
1626,male
1618,male
1611,male
1606,male
1596,male
1577,male
1569,male
1540,female
1537,male
1534,male
1530,female
1500,female
1499,male
1498,female
1456,male
1452,male
1440,male
1437,male
1430,male
1420,male
1402,male
1401,female
1398,male
1395,female
1375,male
1358,female
1350,male
1345,male
1339,male
1333,male
1331,male
1317,male
1315,male
1314,male
1309,female
1306,male
1302,female
1294,male
1286,male
1281,male
1276,male
1274,male
1273,male
1272,male
1271,male
3256,male
3254,male
3245,male
3237,male
3236,male
3234,male
3232,male
3220,male
3218,male
3217,male
3212,male
3210,male
3209,male
3204,male
3196,male
3189,male
3183,male
3163,female
3156,male
3155,male
3154,male
3153,male
3151,male
3148,male
3145,male
3143,male
3139,male
3137,male
3132,male
3129,male
3122,male
3116,male
3115,female
3112,male
3101,male
3098,male
3096,male
3093,male
3090,male
3084,male
3083,male
3080,male
3078,male
3077,male
3071,male
3068,male
3065,male
3064,male
3062,male
3060,male
3055,male
3053,male
3044,male
3041,male
3040,male
3032,male
3031,male
3029,male
3020,male
3018,male
3017,male
3015,male
3008,male
3001,male
2999,male
2995,male
2994,male
2992,male
2991,male
2989,male
2984,male
2981,male
2977,male
2976,male
2972,male
2969,male
2957,male
2956,female
2955,male
2948,male
2947,male
2946,male
2933,male
2932,male
2929,male
2926,male
2924,male
2917,male
2916,male
2914,male
2913,male
2912,male
2905,male
2904,male
2899,male
2895,male
2892,male
2891,male
2890,male
2889,male
2887,male
2886,female
2883,male
2879,female
2876,male
2875,male
2866,male
2864,male
2861,male
2860,male
2859,male
2856,male
2854,male
2850,male
2845,male
2844,male
2839,male
2838,male
2835,male
2832,male
2831,male
2828,male
2825,male
2818,male
2816,male
2814,male
2806,male
2804,male
2802,male
2801,male
2799,male
2794,male
2788,male
2784,male
2782,male
2779,male
2766,male
2757,male
2751,male
2734,male
2728,female
2718,male
2714,male
2711,male
2700,male
2699,male
2695,male
2693,female
2688,male
2684,male
2674,female
2673,male
2672,male
2667,male
2654,male
2651,male
2644,male
2641,male
2640,male
2638,male
2629,male
2627,male
2624,male
2623,male
2619,male
2618,male
2613,male
2605,male
2595,male
2589,male
2587,male
2582,male
2579,male
2570,male
2569,male
2566,male
2564,male
2562,male
2561,male
2560,male
2558,male
2556,male
2555,male
2552,male
2549,male
2547,male
2546,male
2545,male
2541,male
2533,male
2523,female
2518,male
2514,male
2512,male
2509,male
2506,male
2488,female
2487,male
2479,male
2478,male
2474,male
2473,male
2471,male
2467,male
2466,male
2462,male
2460,male
2450,male
2449,male
2446,male
2443,male
2441,male
2438,male
2437,male
2428,male
2427,male
2425,female
2424,male
2417,male
2415,male
2399,male
2397,male
2393,male
2392,male
2389,male
2387,male
2376,male
2375,male
2373,male
2372,male
2371,male
2369,male
2367,male
2363,female
2354,male
2353,male
2350,male
2348,male
2344,female
2342,male
2332,male
2326,male
2324,male
2322,male
2318,male
2312,male
2309,male
2305,male
2304,male
2295,male
2285,female
2284,male
2282,male
2276,male
2275,male
2274,male
2273,male
2272,male
2271,male
761,male
757,male
756,male
753,male
744,male
741,male
728,male
723,male
721,male
687,male
679,male
652,male
651,female
643,male
635,male
624,male
618,male
616,male
609,male
594,male
580,male
578,male
572,male
554,male
548,male
542,male
539,male
538,male
534,male
533,male
516,male
514,male
509,male
501,female
488,male
486,male
481,male
472,male
461,male
452,male
438,male
435,male
434,male
430,male
427,male
403,male
401,male
400,male
399,male
396,male
389,male
386,male
385,male
384,male
383,male
378,male
366,female
359,female
352,male
342,male
341,male
339,male
714,male
683,male
682,male
659,male
632,male
615,male
613,male
588,male
574,male
573,male
571,male
567,male
565,male
563,male
562,male
561,male
560,male
558,male
557,male
556,female
542,male
525,male
506,male
504,male
503,male
496,male
493,male
492,male
490,male
481,male
478,male
476,male
472,male
471,male
469,male
465,male
456,male
455,male
451,male
446,female
443,female
442,male
441,male
649,male
636,male
621,female
617,male
616,male
610,male
605,male
602,male
598,male
588,male
584,male
578,male
565,male
563,male
562,male
560,male
559,male
551,male
546,male
545,male
538,male
534,female
526,male
520,male
514,male
504,male
500,male
497,male
494,male
493,male
490,male
487,male
484,male
479,male
473,male
472,male
470,male
468,male
466,male
460,male
459,male
458,male
457,male
456,male
455,male
453,male
450,male
448,male
447,male
445,male
444,male
443,female
437,male
435,male
431,male
430,male
429,male
426,male
423,male
422,male
418,male
414,male
